id,value
id_0,25.701606348406493
id_1,64.45569402787973
id_2,19.409341025958714
id_3,28.54262722536817
id_4,9.276561413201684
id_5,30.17364892087275
id_6,41.5981130318422
id_7,16.36723163512192
id_8,50.772024769312765
id_9,32.67173885015632
id_10,37.78100558387986
id_11,58.40166902363657
id_12,35.79592695197939
id_13,38.04836026549342
id_14,29.006595517550412
id_15,11.946054591405751
id_16,51.3627285267641
id_17,22.688727070222065
id_18,15.50314875931873
id_19,17.4510461793155
id_20,15.48393956224614
id_21,29.492906458279844
id_22,39.97322245369212
id_23,9.980079395153105
id_24,61.40507973464258
id_25,45.86536107025398
id_26,26.517872862961386
id_27,7.511577271148657
id_28,29.36945651105038
id_29,35.552395827378206
id_30,17.638375801925587
id_31,11.522469598581205
id_32,16.586291637479444
id_33,7.574827856527604
id_34,16.047865630720853
id_35,43.57840901206088
id_36,23.035086573427908
id_37,27.81692494168393
id_38,10.442438505385747
id_39,56.959201698876164
id_40,46.009262099644914
id_41,20.547982247411642
id_42,53.499421150965084
id_43,18.53334331132153
id_44,43.70813077120475
id_45,50.064145174601535
id_46,58.192669472333804
id_47,40.89292337069735
id_48,54.61968046027655
id_49,38.91212243370049
id_50,30.882692640756837
id_51,22.837469930730265
id_52,42.048084866656076
id_53,25.189198380922562
id_54,36.514599154318496
id_55,38.57861356723622
id_56,24.49549276339686
id_57,20.965358564520947
id_58,35.93626924063858
id_59,33.043187859529155
id_60,11.763684736560654
id_61,24.077525612824896
id_62,31.35835682075279
id_63,51.687761938132184
id_64,49.94949837371257
id_65,26.203506924306115
id_66,37.79450797378678
id_67,52.05886427063993
id_68,29.310563784301774
id_69,38.923919493489464
id_70,64.8506172117199
id_71,55.5930284661999
id_72,42.445450372991594
id_73,14.511038324254912
id_74,13.680598316312079
id_75,35.2842501235622
id_76,62.947260366070964
id_77,2.194121754904968
id_78,42.27141714767197
id_79,41.6968816589365
id_80,8.79909153866279
id_81,21.07294390224339
id_82,5.947828420882063
id_83,32.0643968725419
id_84,7.958511911704301
id_85,4.968280765770331
id_86,17.079309726088685
id_87,11.755109459256225
id_88,18.138233260904933
id_89,21.89684516291648
id_90,35.425764468376414
id_91,12.459781444713046
id_92,11.503439401218055
id_93,10.64403402666122
id_94,36.87619374538624
